corrida,perfil_id,n_habs_iniciales,algoritmo,exito,num_cursos,semanas_perturbadas,semanas_nominales,nodos_expandidos,tiempo_segundos
69,11,0,Greedy,True,6,22,23,7,0.000544
70,data_scientist,2,A*,True,11,46,44,298,0.026551
70,data_scientist,2,Greedy,True,11,46,44,16,0.001475
71,9,1,A*,True,13,64,64,235,0.024326
71,9,1,Greedy,True,13,64,64,17,0.001095
72,2,2,A*,False,0,0,0,5000,0.453404
72,2,2,Greedy,True,11,40,39,13,0.001989
73,3,5,A*,True,11,38,40,2058,0.255068
73,3,5,Greedy,True,11,38,40,90,0.012344
74,9,1,A*,True,13,67,64,235,0.019325
74,9,1,Greedy,True,13,67,64,17,0.001033
75,9,2,A*,True,13,64,64,636,0.051952
75,9,2,Greedy,True,13,64,64,17,0.001177
76,4,1,A*,False,0,0,0,5000,0.441593
76,4,1,Greedy,True,15,66,67,52,0.005274
77,3,4,A*,True,11,40,40,1369,0.12215
77,3,4,Greedy,True,11,40,40,74,0.005233
78,8,4,A*,False,0,0,0,5000,0.468121
78,8,4,Greedy,True,32,177,175,355052,26.684733
79,5,2,A*,False,0,0,0,5000,0.478732
79,5,2,Greedy,True,15,64,61,2725,0.188161
80,data_scientist,4,A*,True,9,39,37,169,0.011758
80,data_scientist,4,Greedy,True,10,44,41,15,0.000985
81,3,5,A*,True,11,40,40,1365,0.124895
81,3,5,Greedy,True,11,40,40,74,0.005999
82,backend_developer,1,A*,True,10,41,39,2363,0.224925
82,backend_developer,1,Greedy,True,10,36,35,15,0.001118
83,data_scientist,2,A*,True,11,45,44,279,0.02183
83,data_scientist,2,Greedy,True,11,45,44,16,0.000978
84,5,4,A*,False,0,0,0,5000,0.453305
84,5,4,Greedy,True,15,62,61,4975,0.363576
85,ml_engineer,4,A*,False,0,0,0,5000,0.484812
85,ml_engineer,4,Greedy,True,12,55,56,807,0.059217
86,4,1,A*,False,0,0,0,5000,0.484005
86,4,1,Greedy,True,14,62,63,33,0.003522
87,1,5,A*,True,7,30,29,65,0.005661
87,1,5,Greedy,True,7,29,28,8,0.000499
88,backend_developer,0,A*,True,10,41,39,2363,0.244071
88,backend_developer,0,Greedy,True,10,37,35,15,0.001221
89,5,5,A*,False,0,0,0,5000,0.515413
89,5,5,Greedy,True,15,58,61,2438,0.178405
90,backend_developer,1,A*,True,10,40,39,2363,0.258495
90,backend_developer,1,Greedy,True,10,36,35,15,0.001391
91,1,0,A*,True,7,30,29,55,0.004113
91,1,0,Greedy,True,7,28,28,8,0.000426
92,4,3,A*,False,0,0,0,5000,0.504935
92,4,3,Greedy,True,15,66,65,52,0.006194
93,3,0,A*,True,11,40,40,1369,0.110778
93,3,0,Greedy,True,11,40,40,74,0.005132
94,3,3,A*,True,11,43,40,1369,0.119727
94,3,3,Greedy,True,11,43,40,73,0.00545
95,4,2,A*,True,11,53,53,386,0.042368
95,4,2,Greedy,True,12,55,55,19,0.002346
96,ml_engineer,1,A*,False,0,0,0,5000,0.479021
96,ml_engineer,1,Greedy,True,13,58,60,638,0.039098
97,4,1,A*,False,0,0,0,5000,0.473029
97,4,1,Greedy,True,15,67,65,52,0.005558
98,data_scientist,2,A*,True,11,46,44,298,0.031069
98,data_scientist,2,Greedy,True,11,46,44,16,0.001033
99,ml_engineer,5,A*,False,0,0,0,5000,0.479318
99,ml_engineer,5,Greedy,True,12,56,56,637,0.043511
100,11,2,A*,True,6,24,24,15,0.001081
100,11,2,Greedy,True,6,23,23,7,0.00042
101,data_scientist,5,A*,True,11,44,44,295,0.031473
101,data_scientist,5,Greedy,True,11,44,44,16,0.001734
102,5,4,A*,False,0,0,0,5000,0.508381
102,5,4,Greedy,True,13,57,55,2644,0.212306
103,ml_engineer,1,A*,False,0,0,0,5000,0.537619
103,ml_engineer,1,Greedy,True,13,59,60,638,0.048019
104,4,2,A*,False,0,0,0,5000,0.467625
104,4,2,Greedy,True,15,61,65,49,0.004829
105,backend_developer,5,A*,True,10,39,39,2530,0.304639
105,backend_developer,5,Greedy,True,10,35,35,15,0.001574
106,3,4,A*,True,10,37,36,1308,0.133763
106,3,4,Greedy,True,10,37,36,58,0.005763
107,9,4,A*,True,12,58,59,196,0.022127
107,9,4,Greedy,True,12,58,59,16,0.001722
108,ml_engineer,1,A*,False,0,0,0,5000,0.495793
108,ml_engineer,1,Greedy,True,13,60,60,638,0.040096
109,data_scientist,2,A*,True,11,43,44,279,0.021575
109,data_scientist,2,Greedy,True,11,43,44,16,0.001211
110,backend_developer,4,A*,True,10,38,39,1988,0.190955
110,backend_developer,4,Greedy,True,10,35,36,15,0.001229
111,4,2,A*,False,0,0,0,5000,0.498583
111,4,2,Greedy,True,15,65,65,52,0.00604
112,11,4,A*,True,6,26,24,16,0.001263
112,11,4,Greedy,True,6,24,23,7,0.000487
113,8,0,A*,False,0,0,0,5000,0.509142
113,8,0,Greedy,True,32,177,175,352753,25.422366
114,4,2,A*,False,0,0,0,5000,0.455349
114,4,2,Greedy,True,14,61,59,51,0.006653
115,data_scientist,3,A*,True,11,46,44,287,0.025268
115,data_scientist,3,Greedy,True,11,46,44,16,0.001078
116,ml_engineer,5,A*,True,10,52,51,2510,0.257717
116,ml_engineer,5,Greedy,True,10,52,51,55,0.004904
117,11,5,A*,True,6,23,24,15,0.001171
117,11,5,Greedy,True,6,22,23,7,0.00047
